Hotel_Name,Rating,Score,Number_Reviews,Price,Room_Type,City,Country
South American Copacabana Hotel,Very Good,8.4,"4,465",113,Standard Double Room,Rio de Janeiro,Brazil
Venit Barra Hotel,Excellent,8.9,"1,421",81,Standard King Room,Rio de Janeiro,Brazil
Vila Galé Rio de Janeiro,Excellent,8.7,"6,827",79,Apartment **,Rio de Janeiro,Brazil
Villa 25,Very Good,8.4,"3,862",53,Design Suite,Rio de Janeiro,Brazil
Vogue Square Fashion Hotel by Lenny Niemeyer,Very Good,8.2,"4,151",81,Deluxe Queen Room,Rio de Janeiro,Brazil
Windsor Asturias Hotel,Excellent,8.7,"2,205",82,Standard Double Room,Rio de Janeiro,Brazil
Windsor California Copacabana,Excellent,8.9,"4,356",236,Standard com Cama Casal,Rio de Janeiro,Brazil
Windsor Excelsior Copacabana,Very Good,8.3,"3,446",145,Standard Double Room - No View,Rio de Janeiro,Brazil
Windsor Florida Hotel,Excellent,8.7,"5,985",99,Standard Family Plan,Rio de Janeiro,Brazil
Windsor Guanabara Hotel,Excellent,8.6,"2,679",78,Standard Double Room with Double Bed,Rio de Janeiro,Brazil
Windsor Leme Hotel,Excellent,8.9,"3,108",141,Standard Double Room,Rio de Janeiro,Brazil
Windsor Marapendi Hotel,Excellent,8.9,"6,880",110,Standard Double Room,Rio de Janeiro,Brazil
Windsor Oceanico Hotel,Excellent,8.9,"6,679",89,Standard Double Room,Rio de Janeiro,Brazil
Windsor Palace Copacabana,Very Good,8.5,"2,545",123,Standard Double Room,Rio de Janeiro,Brazil
Windsor Plaza Copacabana,Very Good,8.1,"3,566",96,Standard Double Room with Double bed,Rio de Janeiro,Brazil
Windsor Tower Hotel,Excellent,8.9,"5,386",80,Standard Double Room,Rio de Janeiro,Brazil
"Yoo2 Rio de Janeiro, Tapestry Collection by Hilton",Very Good,8.3,955,210,Quarto Standard com Cama King,Rio de Janeiro,Brazil
Abode Bombay,Excellent,8.8,"1,573",56,Basic Double or Twin Room (Shared Toilet) - Non-smoking,Mumbai,India
Ajanta Continental-Mumbai Airport,Good,7.7,56,65,Deluxe Double Room,Mumbai,India
Ascot Hotel,Very Good,8.5,421,101,Superior Double Room,Mumbai,India
"Aurika, Mumbai International Airport",Very Good,8.5,651,103,Deluxe King Room ( Happy Hours 1 + 1 (On select Brands only). Timing : 1700hrs – 2000hrs),Mumbai,India
Bentleys Hotel,Good,7.9,383,43,AC Double Room with Attached Bathroom,Mumbai,India
Bloom Hotel - Juhu,Good,7.1,787,79,Standard Double Room,Mumbai,India
FabExpress Prakash Inn - Nr Mumbai International Airport,Very Good,8,745,44,Deluxe Room,Mumbai,India
Four Seasons Hotel Mumbai,Excellent,8.7,"1,037",,Superior King Room,Mumbai,India
Grand Hyatt Mumbai Hotel and Residences,Very Good,8,"1,733",,King Room - Club Access,Mumbai,India
"Hotel Auris & Banquets, Mumbai International Airport",Very Good,8.1,172,89,Double or Twin Room,Mumbai,India
Hotel Bawa International,Good,7.3,926,,Day Use Room for 5 hours between 12 pm to 5 pm (Same Day Check In and Check Out),Mumbai,India
Hotel Marine Plaza,Very Good,8.1,678,155,Standard Room 1 Double Bed,Mumbai,India
Hotel Metropole Inn,Review score,6.9,223,67,Deluxe Double Room,Mumbai,India
Hotel Nexus Inn - Near Nesco,Exceptional,9.7,3,25,Deluxe Double Room,Mumbai,India
Hotel Peninsula Redpine,Review score,6.9,77,,Executive Twin Room 10% discount on Food and Beverage,Mumbai,India
Hotel Sahara Star,Review score,6.8,"1,554",202,Mercury City View Room - King Bed (Non-Smoking),Mumbai,India
Hotel Suba Galaxy Mumbai,Very Good,8,681,71,Deluxe Double or Twin Room with 10% off on laundry and ala carte,Mumbai,India
Hotel Suba International Sahar Road Mumbai,Very Good,8.4,"1,189",77,Deluxe Room (10% discount on Laundry),Mumbai,India
Hyatt Centric Juhu Mumbai,Very Good,8.3,569,,Deluxe King Room,Mumbai,India
"ITC Grand Central, a Luxury Collection Hotel, Mumbai",Excellent,8.7,"1,452",,Executive Club,Mumbai,India
"ITC Maratha, a Luxury Collection Hotel, Mumbai",Very Good,8.3,"1,817",,Executive Club,Mumbai,India
"Le Sutra Hotel, Khar, Mumbai",Excellent,8.6,362,104,Standard Double Room,Mumbai,India
"Lemon Tree Premier, Mumbai International Airport",Very Good,8,611,97,Deluxe Room,Mumbai,India
Meluha - The Fern,Very Good,8.2,374,175,Winter Green Room,Mumbai,India
Niranta Transit Hotel Mumbai Airport - At Arrivals,Good,7.4,"1,826",90,Comfort Queen Double,Mumbai,India
Niranta Transit Hotel Terminal 2 Arrivals/Landside,Good,7.5,"4,736",99,Comfort Queen Room,Mumbai,India
Novotel Mumbai International Airport,Excellent,8.6,"1,719",,Standard King Bed with 20% discount on Spa and Food & Soft Beverage at Restaurants only and 10% on Laundry,Mumbai,India
Radisson Blu Mumbai International Airport,Excellent,8.8,"2,848",,Superior Double or Twin Room,Mumbai,India
Radisson Mumbai Andheri MIDC,Very Good,8.2,"1,556",124,Superior Room - 15% off on SPA,Mumbai,India
Regent Hotel Andheri,Very Good,8,281,55,Standard Room Queen Bed,Mumbai,India
Residency Hotel Fort,Very Good,8.5,"2,694",86,Standard Double Room,Mumbai,India
Rodas An Ecotel Hotel,Very Good,8.2,418,150,Deluxe Double Room,Mumbai,India
Royal Hometel Suites,Good,7.6,848,61,Superior Room Double Bed,Mumbai,India
"Sai Palace Grand, Malad",Good,7.4,86,66,Superior Double or Twin Room,Mumbai,India
Super Townhouse Bombay Exhibition Centre Goregaon,Review score,6.8,18,39,Classic Triple Room,Mumbai,India
Super Townhouse Khar The Unicontinental,Excellent,8.8,11,34,Classic Triple Room,Mumbai,India
Taj Lands End,Very Good,8.4,"3,135",,Deluxe Room King Bed,Mumbai,India
Taj Santacruz,Excellent,8.8,"2,609",,Luxury Room Facade View with Bathtub,Mumbai,India
"Taj The Trees, Mumbai",Wonderful,9.1,420,,Deluxe Room Twin Bed,Mumbai,India
"The Gordon House Hotel, Colaba",Good,7.9,687,148,Boutique Room with 15% off on food and soft beverage and Laundry,Mumbai,India
The Lalit Mumbai,Good,7.8,"1,010",133,Lalit Deluxe Room King Bed,Mumbai,India
The Leela Mumbai,Excellent,8.9,"3,943",,Premier City View Room with 1+1 Happy hours are from 5pm to 7pm at 6 degrees on selected brands,Mumbai,India
The Mirador Andheri East,Good,7.8,314,124,Mirable Room,Mumbai,India
The Oberoi Mumbai,Wonderful,9.2,"2,039",210,Luxury,Mumbai,India
"The Shalimar Hotel, Kemps Corner",Review score,6.9,306,123,Comfort Room,Mumbai,India
"The Taj Mahal Palace, Mumbai",Wonderful,9.1,"2,230",,Luxury Room Palace wing,Mumbai,India
"The Taj Mahal Tower, Mumbai",Wonderful,9.1,"5,319",,Superior Room City View King Bed,Mumbai,India
Theory9 Premium Service Apartments Khar,Very Good,8.3,177,75,Deluxe Double Room,Mumbai,India
Trident Bandra Kurla,Excellent,8.8,"3,535",194,Trident Preferred Room,Mumbai,India
Trident Nariman Point,Excellent,8.8,"4,585",173,Premier Double or Twin Room with City View,Mumbai,India
